id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1186471771702206465,1186471771702206465,1571711888000,2019-10-21,23:38:08,-03,181417779,chilenodel80,Alonso,,Habló como si Chile fuera una #monarquia ? #ChileEnCrisis #ChileDesperto #Chili #ChileQuiereCambios  https://twitter.com/S_Schwartzmann/status/1186463294758051842 …,[],['https://twitter.com/S_Schwartzmann/status/1186463294758051842'],[],0,0,0,"['#monarquia', '#chileencrisis', '#chiledesperto', '#chili', '#chilequierecambios']",[],https://twitter.com/chilenodel80/status/1186471771702206465,False,https://twitter.com/S_Schwartzmann/status/1186463294758051842,0,,,,,,,"[{'user_id': '181417779', 'username': 'chilenodel80'}]",
1186469055676502016,1186430154651983874,1571711241000,2019-10-21,23:27:21,-03,226356396,javiertroncosob,Javier Troncoso B.,,"Súmele, sigale, le faltan #ChileQuiereCambios, no más póliticos como ud, acrecentando una crisis, dandosela de general despúes de la guerra",['labeasanchez'],[],[],0,1,0,['#chilequierecambios'],[],https://twitter.com/javiertroncosob/status/1186469055676502016,False,,0,,,,,,,"[{'user_id': '226356396', 'username': 'javiertroncosob'}, {'user_id': '55273142', 'username': 'labeasanchez'}]",
1186467199617241089,1186467199617241089,1571710798000,2019-10-21,23:19:58,-03,1186455440642727936,graysss6,estapaginaesparatibb,,#ChileDesperto #ChileQuiereCambios #chile #ChileProtests #chile pic.twitter.com/icG6FJWu6z,[],[],"['https://pbs.twimg.com/media/EHctnhNWwAAEXcr.jpg', 'https://pbs.twimg.com/media/EHctn-aWkAASSnu.jpg']",0,3,4,"['#chiledesperto', '#chilequierecambios', '#chile', '#chileprotests', '#chile']",[],https://twitter.com/graysss6/status/1186467199617241089,False,,0,,,,,,,"[{'user_id': '1186455440642727936', 'username': 'graysss6'}]",
1186464709266100229,1186464709266100229,1571710204000,2019-10-21,23:10:04,-03,1186455440642727936,graysss6,estapaginaesparatibb,,"DHDKDNDKDNK🤣🤣🤣
#ChileDesperto #Chilenos #ChileQuiereCambios  pic.twitter.com/zCAEIdagY6",[],[],[],1,0,5,"['#chiledesperto', '#chilenos', '#chilequierecambios']",[],https://twitter.com/graysss6/status/1186464709266100229,False,,1,,,,,,,"[{'user_id': '1186455440642727936', 'username': 'graysss6'}]",
1186463305667436544,1186463305667436544,1571709870000,2019-10-21,23:04:30,-03,1186455440642727936,graysss6,estapaginaesparatibb,,"pucha mi mamá 😔💖
#ChileProtestas #ChileDesperto #Chilenos #ChileQuiereCambios  pic.twitter.com/OeX7TKoHQL",[],[],[],5,165,320,"['#chileprotestas', '#chiledesperto', '#chilenos', '#chilequierecambios']",[],https://twitter.com/graysss6/status/1186463305667436544,False,,1,,,,,,,"[{'user_id': '1186455440642727936', 'username': 'graysss6'}]",
1186458995369955328,1186458995369955328,1571708842000,2019-10-21,22:47:22,-03,1186455440642727936,graysss6,estapaginaesparatibb,,#ChileProtestas #ChileDesperto #ChileQuiereCambios  pic.twitter.com/jhtKzFaLOn,[],[],['https://pbs.twimg.com/media/EHcmKXLXYAAv9N_.jpg'],0,1,1,"['#chileprotestas', '#chiledesperto', '#chilequierecambios']",[],https://twitter.com/graysss6/status/1186458995369955328,False,,0,,,,,,,"[{'user_id': '1186455440642727936', 'username': 'graysss6'}]",
1186453962762924033,1186453962762924033,1571707642000,2019-10-21,22:27:22,-03,106393476,danielaparece,#RENUNCIAPIÑERA,,"EL PUEBLO LUCHANDO Y LOS PACOS JALANDO

#PiñeraDictador #ChadwickAsesino #NoEstamosEnGuerra
#PiñeraRenuncia #ChileQuiereCambios #DignidadParaElPuebloDeChile #NoAlAutoGolpe #EstoPasaEnChile",[],[],[],1,0,1,"['#piñeradictador', '#chadwickasesino', '#noestamosenguerra', '#piñerarenuncia', '#chilequierecambios', '#dignidadparaelpueblodechile', '#noalautogolpe', '#estopasaenchile']",[],https://twitter.com/Danielaparece/status/1186453962762924033,False,,0,,,,,,,"[{'user_id': '106393476', 'username': 'Danielaparece'}]",
1186453647871352832,1186453647871352832,1571707567000,2019-10-21,22:26:07,-03,302347902,sofista1982,Leonardo Guerrero C.,,@sebastianpinera #ChileQuiereCambios: 1. Subir la pensión solidaria al salario mínimo. 2. Bajar el costo de la vida. 3. Subir el sueldo mínimo. #RenunciaPiñera https://twitter.com/labeasanchez/status/1186430154651983874 …,['sebastianpinera'],['https://twitter.com/labeasanchez/status/1186430154651983874'],[],0,0,0,"['#chilequierecambios', '#renunciapiñera']",[],https://twitter.com/sofista1982/status/1186453647871352832,False,https://twitter.com/labeasanchez/status/1186430154651983874,0,,,,,,,"[{'user_id': '302347902', 'username': 'sofista1982'}, {'user_id': '13623532', 'username': 'sebastianpinera'}]",
1186451940848361472,1186451940848361472,1571707160000,2019-10-21,22:19:20,-03,106393476,danielaparece,#RENUNCIAPIÑERA,,"LA TELE MIENTE COMO TU EX 

#PiñeraDictador #ChadwickAsesino #NoEstamosEnGuerra
#PiñeraRenuncia #ChileQuiereCambios #DignidadParaElPuebloDeChile #NoAlAutoGolpe #EstoPasaEnChile",[],[],[],0,0,1,"['#piñeradictador', '#chadwickasesino', '#noestamosenguerra', '#piñerarenuncia', '#chilequierecambios', '#dignidadparaelpueblodechile', '#noalautogolpe', '#estopasaenchile']",[],https://twitter.com/Danielaparece/status/1186451940848361472,False,,0,,,,,,,"[{'user_id': '106393476', 'username': 'Danielaparece'}]",
1186450769748332549,1186450769748332549,1571706881000,2019-10-21,22:14:41,-03,106393476,danielaparece,#RENUNCIAPIÑERA,,"estoy agotada  y eso que hoy día no   trabajé.

#PiñeraDictador #ChadwickAsesino #NoEstamosEnGuerra
#PiñeraRenuncia #ChileQuiereCambios #DignidadParaElPuebloDeChile #NoAlAutoGolpe #EstoPasaEnChile",[],[],[],0,0,0,"['#piñeradictador', '#chadwickasesino', '#noestamosenguerra', '#piñerarenuncia', '#chilequierecambios', '#dignidadparaelpueblodechile', '#noalautogolpe', '#estopasaenchile']",[],https://twitter.com/Danielaparece/status/1186450769748332549,False,,0,,,,,,,"[{'user_id': '106393476', 'username': 'Danielaparece'}]",
